timestamp,open,high,low,close,volume,confirmed
2026-01-01T00:00:00+00:00,100,101,99,100,10,1
2026-01-01T00:05:00+00:00,99,100,98,99,11,1
2026-01-01T00:10:00+00:00,98,99,97,98,12,1
2026-01-01T00:15:00+00:00,97,98,96,97,13,1
2026-01-01T00:20:00+00:00,96,97,95,96,14,1
2026-01-01T00:25:00+00:00,95,96,94,95,15,1
2026-01-01T00:30:00+00:00,94,95,93,94,16,1
2026-01-01T00:35:00+00:00,93,94,92,93,17,1
2026-01-01T00:40:00+00:00,92,93,91,92,18,1
2026-01-01T00:45:00+00:00,91,92,90,91,19,1
2026-01-01T00:50:00+00:00,90,91,89,90,20,1
2026-01-01T00:55:00+00:00,89,90,88,89,21,1
2026-01-01T01:00:00+00:00,88,89,87,88,22,1
2026-01-01T01:05:00+00:00,87,88,86,87,23,1
2026-01-01T01:10:00+00:00,86,87,85,86,24,1
2026-01-01T01:15:00+00:00,85,86,84,85,25,1
2026-01-01T01:20:00+00:00,84,85,83,84,26,1
2026-01-01T01:25:00+00:00,83,84,82,83,27,1
2026-01-01T01:30:00+00:00,82,83,81,82,28,1
2026-01-01T01:35:00+00:00,81,82,80,81,29,1
2026-01-01T01:40:00+00:00,80,81,79,80,30,1
2026-01-01T01:45:00+00:00,79,80,78,79,31,1
2026-01-01T01:50:00+00:00,78,79,77,78,32,1
2026-01-01T01:55:00+00:00,77,78,76,77,33,1
2026-01-01T02:00:00+00:00,76,77,75,76,34,1
2026-01-01T02:05:00+00:00,75,76,74,75,35,1
2026-01-01T02:10:00+00:00,74,75,73,74,36,1
2026-01-01T02:15:00+00:00,73,74,72,73,37,1
2026-01-01T02:20:00+00:00,72,73,71,72,38,1
2026-01-01T02:25:00+00:00,71,72,70,71,39,1
2026-01-01T02:30:00+00:00,72,73,71,72,40,1
2026-01-01T02:35:00+00:00,75,76,74,75,41,1
2026-01-01T02:40:00+00:00,80,81,79,80,42,1
2026-01-01T02:45:00+00:00,90,91,89,90,43,1
2026-01-01T02:50:00+00:00,105,106,104,105,44,1
2026-01-01T02:55:00+00:00,120,121,119,120,45,1
2026-01-01T03:00:00+00:00,135,136,134,135,46,1
2026-01-01T03:05:00+00:00,150,151,149,150,47,1
2026-01-01T03:10:00+00:00,165,166,164,165,48,1
2026-01-01T03:15:00+00:00,180,181,179,180,49,1
